pBrand,pCategory,pModel,pTitle,pURL,price,rDate,rRating,rText,rTitle,rURL,rUser,siteCode
Magic Chef,fridge,"Model # HVDR1040W
Internet #205429596
Store SKU #1000629375",9.9 cu. ft. Top Freezer Refrigerator in White,http://www.homedepot.com/p/Magic-Chef-9-9-cu-ft-Top-Freezer-Refrigerator-in-White-HVDR1040W/205429596,$429.00 ,28-Feb-17," 3.7
 out of
 5
",This was the only full-size unit that was reasonably priced and sized so I could get it down a tight-staircase the to my basement. The unit runs quietly and provides us with the extra room that we need to store the overflow from our main kitchen unit.,This was the only full-size unit that was reasonably priced and sized so I could get it down a ti...,http://www.homedepot.com/p/Magic-Chef-9-9-cu-ft-Top-Freezer-Refrigerator-in-White-HVDR1040W/205429596,Zuppss,HD
Magic Chef,fridge,"Model # HVDR1040W
Internet #205429596
Store SKU #1000629375",9.9 cu. ft. Top Freezer Refrigerator in White,http://www.homedepot.com/p/Magic-Chef-9-9-cu-ft-Top-Freezer-Refrigerator-in-White-HVDR1040W/205429596,$429.00 ,27-Feb-17," 3.7
 out of
 5
","DON""T BUY THIS REFRIGERATOR!! Ours lasted 1 year an 1 month. The warranty is only for a year. Then they say the compressor is covered for 5 years except that isn't true either. Since the compressor is part of a sealed system that won't fix it.","DON""T BUY THIS REFRIGERATOR!! Ours lasted 1 year an 1 month. The warranty is only for a year. ...",http://www.homedepot.com/p/Magic-Chef-9-9-cu-ft-Top-Freezer-Refrigerator-in-White-HVDR1040W/205429596,WastedFood,HD
Magic Chef,fridge,"Model # HVDR1040W
Internet #205429596
Store SKU #1000629375",9.9 cu. ft. Top Freezer Refrigerator in White,http://www.homedepot.com/p/Magic-Chef-9-9-cu-ft-Top-Freezer-Refrigerator-in-White-HVDR1040W/205429596,$429.00 ,28-Feb-17," 3.7
 out of
 5
",It's awesome ......It's just perfect for my wifes daycare....super great....j,It's awesome ......It's just perfect for my wifes daycare....super great....j...,http://www.homedepot.com/p/Magic-Chef-9-9-cu-ft-Top-Freezer-Refrigerator-in-White-HVDR1040W/205429596,jim,HD
Magic Chef,fridge,"Model # HVDR1040W
Internet #205429596
Store SKU #1000629375",9.9 cu. ft. Top Freezer Refrigerator in White,http://www.homedepot.com/p/Magic-Chef-9-9-cu-ft-Top-Freezer-Refrigerator-in-White-HVDR1040W/205429596,$429.00 ,27-Feb-17," 3.7
 out of
 5
",Great little fridge for our cabin.,Great little fridge for our cabin.,http://www.homedepot.com/p/Magic-Chef-9-9-cu-ft-Top-Freezer-Refrigerator-in-White-HVDR1040W/205429596,Scot2bdun,HD
Honda,lawn mower,"Model # HRR216K9VKA
Internet #203709643
Store SKU #404997",Honda 21 in. 3-in-1 Variable Speed Gas Self Propelled Mower with Auto Choke,http://www.homedepot.com/p/Honda-Honda-21-in-3-in-1-Variable-Speed-Gas-Self-Propelled-Mower-with-Auto-Choke-HRR216K9VKA/203709643,$429.00 ,25-Feb-17," 4.4
 out of
 5
"," I have never left a review before but this is simply the best mower I have ever used. I have had it for about a year and not a single problem but I would expect that for any mower. What makes this mower extraordinary is it's auto choke easy start engine, intuitive easy to use drive system and it's light weight maneuverability. But the best feature is it's twin cutting blades. They do such a good job of mulching that I have only used the bag once. The mulch never clumps, never bogs down the mower and is virtually invisible no matter the grass length or how wet. This mower is so good that I plan on buying for my son for a house warming gift. I highly recommend this model, no need to go any higher in price!",I have never left a review before but this is simply the best mower I have ever used. I have had ...,http://www.homedepot.com/p/Honda-Honda-21-in-3-in-1-Variable-Speed-Gas-Self-Propelled-Mower-with-Auto-Choke-HRR216K9VKA/203709643,ManuelLabor,HD
Honda,lawn mower,"Model # HRR216K9VKA
Internet #203709643
Store SKU #404997",Honda 21 in. 3-in-1 Variable Speed Gas Self Propelled Mower with Auto Choke,http://www.homedepot.com/p/Honda-Honda-21-in-3-in-1-Variable-Speed-Gas-Self-Propelled-Mower-with-Auto-Choke-HRR216K9VKA/203709643,$429.00 ,26-Feb-17," 4.4
 out of
 5
"," The mower made it's maiden voyage today, and performed flawlessly. Assembled easily in minutes, and cranked on the first pull. My bermuda lawn gets scalped once early each year, so I set the mower to its lowest setting. Adding to the challenge is the fact that my lawn is covered with last years leaves. I started in bag mode, but quickly re-evaluated after filling the bag with leaves in one pass. Switching to mulch mode, countless trips to empty the bag were avoided. My old mower is a Honda, so I expected quality performance. Still, I was pleasantly surprised at the results in mulch mode. Granted, I needed double passes on occasion to completely mulch the leaves, but double passes were much quicker than continually dumping the bag, and the motor never stalled.  I was skeptical about the variable speed control, especially after reading the 1* reviews. Once again, pleasantly surprised! It took some experimentation to get the adjustable paddles in a desirable position, which for me was rather low, so that no matter how far I depressed them, the speed never got very high. Many with poor reviews cited speed control and thumb fatigue as issues. My instinct was to lay my thumbs on the paddles too, but Honda's promo video shows that the proper grip has the pad of the thumb knuckle laying on the paddles, with thumbs either above, or wrapped under the grip. In this manner, rolling the wrist slightly toggles the mechanism, rather than using thumb leverage. (Honda's promo video: https://www.youtube.com/watch?v=A5ikBT_DOkE ). It was easy to control acceleration and no hand cramps at all. Mower started cold, started hot and the transition of the auto choke was undetectable. A flawless performance today, and I expect years of the same. Pros: easy start, flawless auto choke, no stalls, good mulch quality<br>Cons: bag is a bit smaller than the previous model. Could be problematic with very high/thick grass, but shouldn't be a problem for once-a-week mowers. I recommend mulch mode for high grass.","The mower made it's maiden voyage today, and performed flawlessly. Assembled easily in minutes, a...",http://www.homedepot.com/p/Honda-Honda-21-in-3-in-1-Variable-Speed-Gas-Self-Propelled-Mower-with-Auto-Choke-HRR216K9VKA/203709643,davhen,HD
Honda,lawn mower,"Model # HRR216K9VKA
Internet #203709643
Store SKU #404997",Honda 21 in. 3-in-1 Variable Speed Gas Self Propelled Mower with Auto Choke,http://www.homedepot.com/p/Honda-Honda-21-in-3-in-1-Variable-Speed-Gas-Self-Propelled-Mower-with-Auto-Choke-HRR216K9VKA/203709643,$429.00 ,10-Jan-17," 4.4
 out of
 5
","The HRR216VKA is an amazing mower. It has rear wheel drive, and a twin blade MicroCut system. I have never seen such small/fine bag clippings until I bought this lawn mower. The Honda engine is a definite plus too. I did my research of the available walk behind self propelled lawn mowers and finally decided on this one. I highly recommend this lawn mower.","The HRR216VKA is an amazing mower. It has rear wheel drive, and a twin blade MicroCut system. I...",http://www.homedepot.com/p/Honda-Honda-21-in-3-in-1-Variable-Speed-Gas-Self-Propelled-Mower-with-Auto-Choke-HRR216K9VKA/203709643,ChrisLSU,HD
Honda,lawn mower,"Model # HRR216K9VKA
Internet #203709643
Store SKU #404997",Honda 21 in. 3-in-1 Variable Speed Gas Self Propelled Mower with Auto Choke,http://www.homedepot.com/p/Honda-Honda-21-in-3-in-1-Variable-Speed-Gas-Self-Propelled-Mower-with-Auto-Choke-HRR216K9VKA/203709643,$429.00 ,28-Feb-17," 4.4
 out of
 5
","Took it out of the box, filled it with oil and gas and then gave it one gentle pull - vroom! What more can I say other than it can pull you along at almost a jogging pace if you want it to. It mulched my winter leaves to pulp. Great mower!!","Took it out of the box, filled it with oil and gas and then gave it one gentle pull - vroom! What...",http://www.homedepot.com/p/Honda-Honda-21-in-3-in-1-Variable-Speed-Gas-Self-Propelled-Mower-with-Auto-Choke-HRR216K9VKA/203709643,GreenCoveGardener,HD
Honda,lawn mower,"Model # HRR216K9VKA
Internet #203709643
Store SKU #404997",Honda 21 in. 3-in-1 Variable Speed Gas Self Propelled Mower with Auto Choke,http://www.homedepot.com/p/Honda-Honda-21-in-3-in-1-Variable-Speed-Gas-Self-Propelled-Mower-with-Auto-Choke-HRR216K9VKA/203709643,$429.00 ,26-Feb-17," 4.4
 out of
 5
",Do not purchase. After 7 months unable to start. Followed troubleshooting guidelines. Does not start. Took back to Home Depot. They would not replace because over 90 days. Spent $400 for piece of junk. Buyer beware.,Big Disappointment,http://www.homedepot.com/p/Honda-Honda-21-in-3-in-1-Variable-Speed-Gas-Self-Propelled-Mower-with-Auto-Choke-HRR216K9VKA/203709643,Kboyer,HD
Honda,lawn mower,"Model # HRR216K9VKA
Internet #203709643
Store SKU #404997",Honda 21 in. 3-in-1 Variable Speed Gas Self Propelled Mower with Auto Choke,http://www.homedepot.com/p/Honda-Honda-21-in-3-in-1-Variable-Speed-Gas-Self-Propelled-Mower-with-Auto-Choke-HRR216K9VKA/203709643,$429.00 ,4-Oct-16," 4.4
 out of
 5
","Honda mower was easy to assemble and started quickly after I had put in gas & oil (supplied). Instructions were easy to follow. The mower works great. I love the mulching feature. It mulches the grass into fine particles so there is no bunches of grass on the lawn.
I have a large lawn, about 1.5 acres, and this mower handles the operation without problems.",Best lawnmower I ever owned!,http://www.homedepot.com/p/Honda-Honda-21-in-3-in-1-Variable-Speed-Gas-Self-Propelled-Mower-with-Auto-Choke-HRR216K9VKA/203709643,Bob,HD
