n_gram,food,food_sec,food_pri,food_Light/trad,food_wholesome/salty snacks,food_packaged/nonpackaged,products,products_pri,brand,emotion,emotion_sec,emotion_pri,location,location_pri,companion,companion_sec,companion_pri,tod,tod_pri,technical,technical_pri,functional,functional_pri,activity,activity_pri,beverage,beverage_sec,beverage_pri
special k crisp apple flavor,,,,,,,special k crisp apple flavor,special k,kelloggs,,,,,,,,,,,,,,,,,,,
special k crisp strawberry,,,,,,,special k crisp strawberry,special k,kelloggs,,,,,,,,,,,,,,,,,,,
special k fruit temptation,,,,,,,special k fruit temptation,special k,kelloggs,,,,,,,,,,,,,,,,,,,
special k mini breaks,,,,,,,special k mini breaks,special k,kelloggs,,,,,,,,,,,,,,,,,,,
special k mini brownies chocolate and caramel flavor,,,,,,,special k mini brownies chocolate and caramel flavor,special k,kelloggs,,,,,,,,,,,,,,,,,,,
special k mini brownies dual chocolate flavor,,,,,,,special k mini brownies dual chocolate flavor,special k,kelloggs,,,,,,,,,,,,,,,,,,,
special k nuts blueberries & almonds,,,,,,,special k nuts blueberries & almonds,special k,kelloggs,,,,,,,,,,,,,,,,,,,
special k nuts chocolate & almonds,,,,,,,special k nuts chocolate & almonds,special k,kelloggs,,,,,,,,,,,,,,,,,,,
special k original,,,,,,,special k original,special k,kelloggs,,,,,,,,,,,,,,,,,,,
special k protein,,,,,,,special k protein,special k,kelloggs,,,,,,,,,,,,,,,,,,,
special k protein bar,,,,,,,special k protein bar,special k,kelloggs,,,,,,,,,,,,,,,,,,,
special k protein breakfast shake,,,,,,,special k protein breakfast shake,special k,kelloggs,,,,,,,,,,,,,,,,,,,
special k red harvest,,,,,,,special k red harvest,special k,kelloggs,,,,,,,,,,,,,,,,,,,
special k sea salt cracker crisps,,,,,,,special k sea salt cracker crisps,special k,kelloggs,,,,,,,,,,,,,,,,,,,
special k vanilla flavor with almonds,,,,,,,special k vanilla flavor with almonds,special k,kelloggs,,,,,,,,,,,,,,,,,,,
spice,spice,ingredients,ingredients,,,,,,,,,,,,,,,,,,,,,,,,,
spiced,,,,,,,,,,,,,,,,,,,,spicy,textures,,,,,,,
spiced rum,,,,,,,,,,,,,,,,,,,,,,,,,,spiced rum,cocktails,alcoholic
spicy,,,,,,,,,,,,,,,,,,,,spicy,textures,,,,,,,
spinach,spinach,veggies,veggies,,,,,,,,,,,,,,,,,,,,,,,,,
spoiled,,,,,,,,,,spoiled,dislike,negative,,,,,,,,,,,,,,,,
sport,,,,,,,,,,,,,,,,,,,,,,,,sports,physical activity,,,
sports,,,,,,,,,,,,,,,,,,,,,,,,sports,physical activity,,,
sports drink,,,,,,,,,,,,,,,,,,,,,,,,,,sports drink,energy drink,non alcoholic
