n_gram,food,food_sec,food_pri,food_Light/trad,food_wholesome/salty snacks,food_packaged/nonpackaged,products,products_pri,brand,emotion,emotion_sec,emotion_pri,location,location_pri,companion,companion_sec,companion_pri,tod,tod_pri,technical,technical_pri,functional,functional_pri,activity,activity_pri,beverage,beverage_sec,beverage_pri 
chia,chia,nuts/seeds,wholesome snacks,light food,wholesome snacks,,,,,,,,,,,,,,,,,healthy,health & nutrition,,,,,
chia em graos,,,,,,,chia em graos,integral,jasmine alimentos,,,,,,,,,,,,,,,,,,,
chia seeds,chia seeds,nuts/seeds,wholesome snacks,light food,wholesome snacks,,,,,,,,,,,,,,,,,healthy,health & nutrition,,,,,
chica,,,,,,,,,,,,,,,chica,friends,pair,,,,,,,,,,,
chicas,,,,,,,,,,,,,,,chicas,friends,small group,,,,,,,,,,,
chicharron,chicharron,salty snacks,light food,light food,salty snacks,,,,,,,,,,,,,,,,,,,,,,,
chicharrones,chicharrones,heavy meal,heavy meal,traditional food,,,,,,,,,,,,,,,,,,,,,,,,
chicken,chicken,meat,meat,,,,,,,,,,,,,,,,,,,,,,,,,
chicken breast,chicken breast,meat,meat,,,,,,,,,,,,,,,,,,,,,,,,,
chicken pies,chicken pies,salty snacks,light food,light food,,,,,,,,,,,,,,,,,,,,,,,,
chicken rolls,chicken rolls,snacks,light food,light food,,,,,,,,,,,,,,,,portable,portable,rte,rte,,,,,
chicken wings,chicken wings,snacks,heavy meal,light food,wholesome snacks,,,,,,,,,,,,,,,portable,portable,rte,rte,,,,,
chickpea,chickpea,nuts/seeds,wholesome snacks,,,,,,,,,,,,,,,,,,,,,,,,,
chicle,chicle,candy/chocolate,candy/chocolate,,sweet snacks,,,,,,,,,,,,,,,,,,,,,,,
chiclete,chiclete,candy/chocolate,candy/chocolate,,sweet snacks,,,,,,,,,,,,,,,,,,,,,,,
chico,,,,,,,,,,,,,,,chico,friends,pair,,,,,,,,,,,
chicos,,,,,,,,,,,,,,,chicos,friends,small group,,,,,,,,,,,
chilaquiles,chilaquiles,traditional dishes,light food,traditional food,,,,,,,,,,,,,,,,,,,,,,,,
chilaquiles ,chilaquiles ,heavy meal,heavy meal,traditional food,,,,,,,,,,,,,,,,,,,,,,,,
chili,chili,veggies,veggies,,,,,,,,,,,,,,,,,,,,,,,,,
chilled,,,,,,,,,,,,,,,,,,,,chilled,properties,,,,,,,
chilli,chilli,ingredients,ingredients,,,,,,,,,,,,,,,,,,,,,,,,,
chilling,,,,,,,,,,,,,,,,,,,,,,,,chilling,leisure,,,
chimarrao,,,,,,,,,,,,,,,,,,,,,,,,,,chimarrao,mocktails,non alcoholic
chimichanga ,chimichanga ,salty snacks,light food,traditional food,wholesome snacks,,,,,,,,,,,,,,,portable,portable,,,,,,,
chimichurri,chimichurri,sides/sauces/spices,sides/sauces/spices,,,,,,,,,,,,,,,,,,,,,,,,,
chip,chips,snacks,light food,light food,salty snacks,,,,,,,,,,,,,,,portable,portable,rte,rte,,,,,
chipotle,chipotle,sides/sauces/spices,sides/sauces/spices,,,,,,,,,,,,,,,,,,,,,,,,,
chips,chips,snacks,light food,light food,salty snacks,,,,,,,,,,,,,,,portable,portable,rte,rte,,,,,
chive,chive,veggies,veggies,,,,,,,,,,,,,,,,,,,,,,,,,
choco,choco,ingredients,ingredients,,,,,,,,,,,,,,,,,,,,,,,,,
choco krispis,,,,,,,choco krispis,choco krispis,kelloggs,,,,,,,,,,,,,,,,,,,
choco krispis bar,,,,,,,choco krispis bar,choco krispis,kelloggs,,,,,,,,,,,,,,,,,,,
choco krispis pops,,,,,,,choco krispis pops,choco krispis,kelloggs,,,,,,,,,,,,,,,,,,,
choco zucaritas with marshmallows,,,,,,,choco zucaritas with marshmallows,zucaritas,kelloggs,,,,,,,,,,,,,,,,,,,
chocolate,chocolate,candy/chocolate,candy/chocolate,,sweet snacks,,,,,,,,,,,,,,,,,,,,,,,
chocolate brownie,,,,,,,chocolate brownie,barras proteicas,kobber,,,,,,,,,,,,,,,,,,,
chocolate em pó,,,,,,,,,,,,,,,,,,,,,,,,,,chocolate em pó,chocolated based drink,non alcoholic
chocolate fudge,chocolate fudge,dessert,light food,light food,sweet snacks,,,,,,,,,,,,,,,,,,,,,,,
chocolate milk,,,,,,,,,,,,,,,,,,,,,,,,,,chocolate milk,chocolated based drink,non alcoholic
chocolates,chocolates,candy/chocolate,candy/chocolate,,sweet snacks,,,,,,,,,,,,,,,,,,,,,,,
chocos,,,,,,,chocos,chocos,kelloggs,,,,,,,,,,,,,,,,,,,
cholesterol,,,,,,,,,,,,,,,,,,,,cholesterol,diet,,,,,,,
church,,,,,,,,,,,,,church,outside,,,,,,,,,,,,,,
churrascaria,,,,,,,,,,,,,churrascaria,coffee shops/bakery/eatery,,,,,,,,,,,,,,
churritos,churritos,salty snacks,light food,light food,salty snacks,packaged food,churritos,churritos,barcel,,,,,,,,,,,,,,,,,,,
churros,churros,dessert,light food,light food,sweet snacks,,,,,,,,,,,,,,,,,,,,,,,
chutney,chutney,sides/sauces/spices,sides/sauces/spices,,,,,,,,,,,,,,,,,,,,,,,,,
cider,cider,ingredients,ingredients,,,,,,,,,,,,,,,,,,,,,,,,,
cilantro,cilantro,veggies,veggies,,,,,,,,,,,,,,,,,,,,,,,,,
cinema,,,,,,,,,,,,,cinema,outside,,,,,,,,,,,,,,
cinnamon,cinnamon,dessert,light food,light food,sweet snacks,,,,,,,,,,,,,,,,,,,,,,,
cinnamon toast,cinnamon toast,light food,light food,light food,wholesome snacks,,,,,,,,,,,,,,,,,,,,,,,
cipotle,cipotle,sides/sauces/spices,sides/sauces/spices,,,,,,,,,,,,,,,,,,,,,,,,,
citric,,,,,,,,,,,,,,,,,,,,citric,diet,,,,,,,
city,,,,,,,,,,,,,city,outside,,,,,,,,,,,,,,
class,,,,,,,,,,,,,class,school,,,,,,,,,,,,,,
classmate,,,,,,,,,,,,,,,classmate,friends,small group,,,,,,,,,,,
classmates,,,,,,,,,,,,,,,classmates,friends,large group,,,,,,,,,,,
classroom,,,,,,,,,,,,,classroom,school,,,,,,,,,,,,,,
cleanse,,,,,,,,,,,,,,,,,,,,,,cleanse,cleanse,,,,,
cleanse and purify,,,,,,,,,,,,,,,,,,,,,,cleanse and purify,cleanse and purify,,,,,
cleanse my palate,,,,,,,,,,,,,,,,,,,,,,cleanse my palate,cleanse my palate,,,,,
clover club cocktail,,,,,,,,,,,,,,,,,,,,,,,,,,clover club cocktail,cocktails,alcoholic
club,,,,,,,,,,,,,club,outside,,,,,,,,,,,,,,
club nightclub,,,,,,,,,,,,,club nightclub,outside,,,,,,,,,,,,,,
club soda,,,,,,,,,,,,,,,,,,,,,,,,,,club soda,soda,non alcoholic
clubbing,,,,,,,,,,,,,,,,,,,,,,,,clubbing,social activities,,,
clubsoda,,,,,,,,,,,,,,,,,,,,,,,,,,club soda,soda,non alcoholic
cocada,cocada,candy/chocolate,candy/chocolate,traditional food,sweet snacks,,,,,,,,,,,,,,,,,,,,,,,
cocktail,,,,,,,,,,,,,,,,,,,,,,,,,,cocktails,cocktails,alcoholic
cocktail sauce,cocktail sauce,sides/sauces/spices,sides/sauces/spices,,,,,,,,,,,,,,,,,,,,,,,,,
cocktails,,,,,,,,,,,,,,,,,,,,,,,,,,cocktails,cocktails,alcoholic
coco bandera,coco bandera,dessert,light food,light food,sweet snacks,,,,,,,,,,,,,,,,,,,,,,,
coco pops bar,coco pops bar,wholesome snacks,light food,light food,wholesome snacks,packaged food,,,,,,,,,,,,,,,,,,,,,,
cocoa,cocoa,nuts/seeds,wholesome snacks,,,,,,,,,,,,,,,,,,,,,,,,,
cococrispy,cococrispy,bars,light food,light food,wholesome snacks,packaged food,,,,,,,,,,,,,,portable,portable,rte,rte,,,,,
coconut,coconut,fruits,natural,,,,,,,,,,,,,,,,,,,,,,,,,
coconut bar,coconut bar,wholesome snacks,light food,light food,wholesome snacks,packaged food,,,,,,,,,,,,,,,,,,,,,,
coconut water,,,,,,,,,,,,,,,,,,,,,,,,,,coconut water,water,non alcoholic
coconutwater,,,,,,,,,,,,,,,,,,,,,,,,,,coconut water,water,non alcoholic
coctailsauce,coctailsauce,sides/sauces/spices,sides/sauces/spices,,,,,,,,,,,,,,,,,,,,,,,,,
coffee,,,,,,,,,,,,,,,,,,,,caffeine,properties,,,,,coffee,coffee,non alcoholic
coffee shop,,,,,,,,,,,,,coffee shop,coffee shops/bakery/eatery,,,,,,,,,,,,,,
cognac,,,,,,,,,,,,,,,,,,,,,,,,,,cognac,alcohol,alcoholic
coke,,,,,,,,,,,,,,,,,,,,,,,,,,coke,soda,non alcoholic
cola,,,,,,,,,,,,,,,,,,,,,,,,,,colas,soda,non alcoholic
colada,,,,,,,,,,,,,,,,,,,,,,,,,,colada,juices,non alcoholic
colas,,,,,,,,,,,,,,,,,,,,,,,,,,colas,soda,non alcoholic
cold,,,,,,,,,,,,,,,,,,,,cold,properties,,,,,,,
cold cereal,cold cereal,cereal,light food,light food,wholesome snacks,,,,,,,,,,,,,,,,,,,,,,,
cold cuts,cold cuts,meat,meat,,,,,,,,,,,,,,,,,,,,,,,,,
cold water,,,,,,,,,,,,,,,,,,,,,,,,,,cold water,water,non alcoholic
coldwater,,,,,,,,,,,,,,,,,,,,,,,,,,cold water,water,non alcoholic
collard greens,collard greens,veggies,veggies,,,,,,,,,,,,,,,,,,,,,,,,,
colleague,,,,,,,,,,,,,,,colleague,friends,small group,,,,,,,,,,,
colleagues,,,,,,,,,,,,,,,colleagues,friends,large group,,,,,,,,,,,
college,,,,,,,,,,,,,college,school,,,,,,,,,,,,,,
colonche,,,,,,,,,,,,,,,,,,,,,,,,,,colonche,cocktails,alcoholic
comfort,,,,,,,,,,comfort,laid back,feel good,,,,,,,,,,,,,,,,
comfort food,,,,,,,,,,comfort food,laid back,feel good,,,,,,,,,,,,,,,,
comfort hope,,,,,,,,,,comfort hope,laid back,feel good,,,,,,,,,,,,,,,,
comfort peace,,,,,,,,,,comfort peace,laid back,feel good,,,,,,,,,,,,,,,,
comforting,,,,,,,,,,comforting,laid back,feel good,,,,,,,,,,,,,,,,
comida helada,comida helada,dessert,light food,light food,sweet snacks,,,,,,,,,,,,,,,,,,,,,,,
community,,,,,,,,,,,,,,,community,people,large group,,,,,,,,,,,
commute,,,,,,,,,,,,,commute,on the way,,,,,,,,,,,,,,
commuting,,,,,,,,,,,,,commuting,on the way,,,,,,,,,,,,,,
complain,,,,,,,,,,complain,dislike,negative,,,,,,,,,,,,,,,,
complement meal,,,,,,,,,,,,,,,,,,,,,,complement meal,complement meal,,,,,
complements beverage,,,,,,,,,,,,,,,,,,,,,,complements beverage,complement meal,,,,,
complements food,,,,,,,,,,,,,,,,,,,,,,complements food,complement meal,,,,,
complements food & beverage,,,,,,,,,,,,,,,,,,,,,,complements food & beverage,complement meal,,,,,
complements food vs graze,,,,,,,,,,,,,,,,,,,,,,complements food vs graze,complement meal,,,,,
comrade,,,,,,,,,,,,,,,comrade,friends,pair,,,,,,,,,,,
comrades,,,,,,,,,,,,,,,comrades,friends,large group,,,,,,,,,,,
concern,,,,,,,,,,concern,concern/confused,confused,,,,,,,,,,,,,,,,
concerned,,,,,,,,,,concerned,concern/confused,confused,,,,,,,,,,,,,,,,
concert,,,,,,,,,,,,,concert,outside,,,,,,,,,,,,,,
conchitas,conchitas,traditional dishes,light food,traditional food,,,,,,,,,,,,,,,,,,,,,,,,
condiment,condiment,sides/sauces/spices,sides/sauces/spices,,,,,,,,,,,,,,,,,,,,,,,,,
confused,,,,,,,,,,confused,concern/confused,confused,,,,,,,,,,,,,,,,
consequencia,consequencia,traditional dishes,light food,traditional food,,,,,,,,,,,,,,,,,,,,,,,,
consume a lot,,,,,,,,,,,,,,,,,,,,,,consume a lot,hunger,,,,,
consume on the go,,,,,,,,,,,,,consume on the go,on the way,,,,,,,,consume on the go,on the go,,,,,
consumed throughout the year,,,,,,,,,,,,,,,,,,,,,,consumed throughout the year,consumed throughout the year,,,,,
content,,,,,,,,,,content,satisfied,feel good,,,,,,,,,,,,,,,,
contentment,,,,,,,,,,content,satisfied,feel good,,,,,,,,,,,,,,,,
convenience,,,,,,,,,,,,,,,,,,,,,,convenience,convenience,,,,,
convenient,,,,,,,,,,,,,,,,,,,,,,convenience,convenience,,,,,
convenient refuels & sustains,,,,,,,,,,,,,,,,,,,,,,convenient refuels & sustains,convenience,,,,,
convenience,,,,,,,,,,,,,,,,,,,,,,convenience,convenience,,,,,
convinient,,,,,,,,,,,,,,,,,,,,,,convenience,convenience,,,,,
cook,,,,,,,,,,,,,,,,,,,,,,,,cook,food related,,,
cookie,cookies,wholesome snacks,light food,light food,wholesome snacks,packaged food,,,,,,,,,,,,,,portable,portable,,,,,,,
cookies,cookies,wholesome snacks,light food,light food,wholesome snacks,packaged food,,,,,,,,,,,,,,portable,portable,,,,,,,
cookies & cream,,,,,,,cookies & cream,barras proteicas,kobber,,,,,,,,,,,,,,,,,,,
cookies de granola cacau e caju light,,,,,,,cookies de granola cacau e caju light,cookies de granola,kobber,,,,,,,,,,,,,,,,,,,
cookies de granola castanha do para,,,,,,,cookies de granola castanha do para,cookies de granola,kobber,,,,,,,,,,,,,,,,,,,
cookies de granola soja e mel light,,,,,,,cookies de granola soja e mel light,cookies de granola,kobber,,,,,,,,,,,,,,,,,,,
cookies de granola tradicional diet,,,,,,,cookies de granola tradicional diet,cookies de granola,kobber,,,,,,,,,,,,,,,,,,,
cookies de granola tradicional light,,,,,,,cookies de granola tradicional light,cookies de granola,kobber,,,,,,,,,,,,,,,,,,,
cookies integral cafe,,,,,,,cookies integral cafe,integral,jasmine alimentos,,,,,,,,,,,,,,,,,,,
cookies integral castanha do para,,,,,,,cookies integral castanha do para,integral,jasmine alimentos,,,,,,,,,,,,,,,,,,,
cookies integral chocolate com gotas,,,,,,,cookies integral chocolate com gotas,integral,jasmine alimentos,,,,,,,,,,,,,,,,,,,
cookies integral de avela com gotas de chocolate,,,,,,,cookies integral de avela com gotas de chocolate,integral,jasmine alimentos,,,,,,,,,,,,,,,,,,,
cookies integral laranja,,,,,,,cookies integral laranja,integral,jasmine alimentos,,,,,,,,,,,,,,,,,,,
cookies integral limao,,,,,,,cookies integral limao,integral,jasmine alimentos,,,,,,,,,,,,,,,,,,,
cookies organico 7 graos,,,,,,,cookies organico 7 graos,organico,jasmine alimentos,,,,,,,,,,,,,,,,,,,
cookies organico aveia e mel,,,,,,,cookies organico aveia e mel,organico,jasmine alimentos,,,,,,,,,,,,,,,,,,,
cookies organico castanha do para,,,,,,,cookies organico castanha do para,organico,jasmine alimentos,,,,,,,,,,,,,,,,,,,
cookies organico coco,,,,,,,cookies organico coco,organico,jasmine alimentos,,,,,,,,,,,,,,,,,,,
cookies sem gluten castanhas do para e caju,,,,,,,cookies sem gluten castanhas do para e caju,sem gluten,jasmine alimentos,,,,,,,,,,,,,,,,,,,
cookies sem gluten frutas silvestres,,,,,,,cookies sem gluten frutas silvestres,sem gluten,jasmine alimentos,,,,,,,,,,,,,,,,,,,
cookies sem gluten laranja e mel,,,,,,,cookies sem gluten laranja e mel,sem gluten,jasmine alimentos,,,,,,,,,,,,,,,,,,,
cookies zero acucar amendos e castanhas,,,,,,,cookies zero acucar amendos e castanhas,zero acucar,jasmine alimentos,,,,,,,,,,,,,,,,,,,
cookies zero acucar cappuccino e avela,,,,,,,cookies zero acucar cappuccino e avela,zero acucar,jasmine alimentos,,,,,,,,,,,,,,,,,,,
cookies zero acucar de damasco com chocolate,,,,,,,cookies zero acucar de damasco com chocolate,zero acucar,jasmine alimentos,,,,,,,,,,,,,,,,,,,
cookies zero acucar manjar de coco,,,,,,,cookies zero acucar manjar de coco,zero acucar,jasmine alimentos,,,,,,,,,,,,,,,,,,,
cooking,,,,,,,,,,,,,,,,,,,,,,,,cooking,food related,,,
coquito,,,,,,,,,,,,,,,,,,,,,,,,,,coquito,cocktails,Alcoholic
corn,corn,fruits,natural,,,,,,,,,,,,,,,,,,,,,,,,,
corn bread,corn bread,snacks,light food,light food,wholesome snacks,packaged food,,,,,,,,,,,,,,,,,,,,,,
corn flakes,corn flakes,cereal,light food,light food,wholesome snacks,packaged food,corn flakes,corn flakes,kelloggs,,,,,,,,,,,,,,,,,,,
cornbread,cornbread,snacks,light food,light food,wholesome snacks,packaged food,,,,,,,,,,,,,,,,,,,,,,
cornflake,cornflakes,cereal,light food,light food,wholesome snacks,packaged food,,,,,,,,,,,,,,,,,,,,,,
cornflakes,cornflakes,cereal,light food,light food,wholesome snacks,packaged food,,,,,,,,,,,,,,,,,,,,,,
cornmeal,cornmeal,cereal,light food,light food,wholesome snacks,packaged food,,,,,,,,,,,,,,,,,,,,,,
cornpops,,,,,,,cornpops,cornpops,kelloggs,,,,,,,,,,,,,,,,,,,
costly,,,,,,,,,,,,,,,,,,,,,,costly,cost,,,,,
couch,,,,,,,,,,,,,couch,home,,,,,,,,,,,,,,
couple,,,,,,,,,,,,,,,couple,couple,small group,,,,,,,,,,,
cousin,,,,,,,,,,,,,,,cousins,family,small group,,,,,,,,,,,
cousins,,,,,,,,,,,,,,,cousins,family,small group,,,,,,,,,,,
coxinha,coxinha,traditional dishes,light food,traditional food,,,,,,,,,,,,,,,,,,,,,,,,
crab,crab,meat,meat,,,,,,,,,,,,,,,,,,,,,,,,,
cracker,crackers,salty snacks,light food,light food,salty snacks,packaged food,,,,,,,,,,,,,,,,,,,,,,
cracker chips,cracker chips,salty snacks,light food,light food,salty snacks,packaged food,,,,,,,,,,,,,,portable,portable,rte,rte,,,,,
crackerjack,crackerjack,salty snacks,light food,light food,salty snacks,packaged food,,,,,,,,,,,,,,portable,portable,,,,,,,
crackers,crackers,salty snacks,light food,light food,salty snacks,packaged food,,,,,,,,,,,,,,,,,,,,,,
cranberries,,,,,,,cranberries,integral,jasmine alimentos,,,,,,,,,,,,,,,,,,,
cranberry,cranberry,fruits,natural,,,,,,,,,,,,,,,,,,,,,,,,,
cranberry sauce,cranberry sauce,sides/sauces/spices,sides/sauces/spices,,,,,,,,,,,,,,,,,,,,,,,,,
crave,,,,,,,,,,craving,affection/longing,positive,,,,,,,,,,,,,,,,
craved,,,,,,,,,,craving,affection/longing,positive,,,,,,,,,,,,,,,,
craving,,,,,,,,,,craving,affection/longing,positive,,,,,,,,,,,,,,,,
crazier,,,,,,,,,,crazy,superlative,positive,,,,,,,,,,,,,,,,
craziest,,,,,,,,,,crazy,superlative,positive,,,,,,,,,,,,,,,,
crazy,,,,,,,,,,crazy,superlative,positive,,,,,,,,,,,,,,,,
cream,cream,sides/sauces/spices,sides/sauces/spices,,,,,,,,,,,,,,,,,creamy,textures,,,,,,,
cream cheese,cream cheese,sides/sauces/spices,sides/sauces/spices,,,,,,,,,,,,,,,,,creamy,textures,,,,,,,
creamy,,,,,,,,,,,,,,,,,,,,creamy,textures,,,,,,,
creamy cheese,cream cheese,sides/sauces/spices,sides/sauces/spices,,,,,,,,,,,,,,,,,creamy,textures,,,,,,,
creole,creole,snacks,light food,traditional food,wholesome snacks,,,,,,,,,,,,,,,,,,,,,,,
crepe,crepes,snacks,light food,light food,,,,,,,,,,,,,,,,,,,,,,,,
crepes,crepes,snacks,light food,light food,,,,,,,,,,,,,,,,,,,,,,,,
criacao,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cried,,,,,,,,,,cried,dislike,negative,,,,,,,,,,,,,,,,
crisp,,,,,,,,,,,,,,,,,,,,crispy,textures,,,,,,,
crisps,,,,,,,,,,,,,,,,,,,,crispy,textures,,,,,,,
crispy,,,,,,,,,,,,,,,,,,,,crispy,textures,,,,,,,
croissant,croissant,dessert,light food,light food,sweet snacks,,,,,,,,,,,,,,,portable,portable,,,,,,,
crujitos,crujitos,salty snacks,light food,light food,salty snacks,packaged food,crujitos,crujitos,sabritas,,,,,,,,,,,,,,,,,,,
crullers,crullers,dessert,light food,light food,sweet snacks,,,,,,,,,,,,,,,,,,,,,,,
crunchy,,,,,,,,,,,,,,,,,,,,crunchy,textures,,,,,,,
cry,,,,,,,,,,cry,dislike,negative,,,,,,,,,,,,,,,,
cucumber,cucumber,fruits,natural,,,,,,,,,,,,,,,,,,,,,,,,,
cueritos,cueritos,traditional dishes,light food,traditional food,,,,,,,,,,,,,,,,,,,,,,,,
cuida bem,cuida bem,candy/chocolate,candy/chocolate,,sweet snacks,packaged food,,,,,,,,,,,,,,,,,,,,,,
culinary center,,,,,,,,,,,,,culinary center,coffee shops/bakery/eatery,,,,,,,,,,,,,,
cupcake,cupcakes,dessert,light food,light food,sweet snacks,,,,,,,,,,,,,,,,,rte,rte,,,,,
cupcakes,cupcakes,dessert,light food,light food,sweet snacks,,,,,,,,,,,,,,,,,rte,rte,,,,,
curd,curd,dairy,light food,light food,,,,,,,,,,,,,,,,,,,,,,,,
curiosity,,,,,,,,,,curiosity,anxiety/curiosity,positive,,,,,,,,,,,,,,,,
curious,,,,,,,,,,curiosity,anxiety/curiosity,positive,,,,,,,,,,,,,,,,
currie,curry,sides/sauces/spices,sides/sauces/spices,,,,,,,,,,,,,,,,,,,,,,,,,
curry,curry,sides/sauces/spices,sides/sauces/spices,,,,,,,,,,,,,,,,,,,,,,,,,
cuscuz,cuscuz,traditional dishes,light food,traditional food,,,,,,,,,,,,,,,,,,,,,,,,
custard,custard,dessert,light food,light food,sweet snacks,,,,,,,,,,,,,,,,,,,,,,,
cutlet,cutlet,snacks,light food,light food,wholesome snacks,,,,,,,,,,,,,,,portable,portable,,,,,,,
dad,,,,,,,,,,,,,,,dad,family,small group,,,,,,,,,,,
daddy,,,,,,,,,,,,,,,dad,family,small group,,,,,,,,,,,
daily routine,,,,,,,,,,,,,,,,,,,,,,daily routine,routine,,,,,
dairy,dairy,dairy,light food,,,,,,,,,,,,,,,,,,,,,,,,,
damasco e ameixa,,,,,,,damasco e ameixa,fruta de bolso,kobber,,,,,,,,,,,,,,,,,,,
dance,,,,,,,,,,,,,,,,,,,,,,,,dancing,physical activity,,,
dancing,,,,,,,,,,,,,,,,,,,,,,,,dancing,physical activity,,,
danone,,,,,,,danone,danone,danone,,,,,,,,,,,,,,,,,,,
daughter,,,,,,,,,,,,,,,daughters,family,small group,,,,,,,,,,,
daughters,,,,,,,,,,,,,,,daughters,family,small group,,,,,,,,,,,
dawn,,,,,,,,,,,,,,,,,,dawn,dawn,,,,,,,,,
de cabeza,de cabeza,meat,meat,,,,,,,,,,,,,,,,,,,,,,,,,
de montao,de montao,salty snacks,light food,light food,salty snacks,packaged food,de montao,de montao,de montao,,,,,,,,,,,,,,,,,,,
delight,,,,,,,,,,delighted,happy,feel good,,,,,,,,,,,,,,,,
delighted,,,,,,,,,,delighted,happy,feel good,,,,,,,,,,,,,,,,
delightful,,,,,,,,,,delighted,happy,feel good,,,,,,,,,,,,,,,,
department store,,,,,,,,,,,,,department store,outside,,,,,,,,,,,,,,
depress,,,,,,,,,,depressing,dislike,negative,,,,,,,,,,,,,,,,
depressed,,,,,,,,,,depressing,dislike,negative,,,,,,,,,,,,,,,,
depressing,,,,,,,,,,depressing,dislike,negative,,,,,,,,,,,,,,,,
desire,,,,,,,,,,desire,affection/longing,positive,,,,,,,,,,,,,,,,
desirous,,,,,,,,,,desirous,affection/longing,positive,,,,,,,,,,,,,,,,
despair,,,,,,,,,,despair,dislike,negative,,,,,,,,,,,,,,,,
despairing,,,,,,,,,,despair,dislike,negative,,,,,,,,,,,,,,,,
dessert,dessert,dessert,light food,light food,sweet snacks,,,,,,,,,,,,,,,,,tasty,taste,,,,,
determination,,,,,,,,,,determination,concern/confused,positive,,,,,,,,,,,,,,,,
determined,,,,,,,,,,determination,concern/confused,positive,,,,,,,,,,,,,,,,
detest,,,,,,,,,,detest,dislike,negative,,,,,,,,,,,,,,,,
detox,,,,,,,,,,,,,,,,,,,,,,detox,detox,,,,,
diet,,,,,,,,,,,,,,,,,,,,,,diet,weight management,,,,,
diets,,,,,,,,,,,,,,,,,,,,,,diet,weight management,,,,,
digest,,,,,,,,,,,,,,,,,,,,,,digestion,digestion,,,,,
digestion,,,,,,,,,,,,,,,,,,,,,,digestion,digestion,,,,,
dijon,dijon,sides/sauces/spices,sides/sauces/spices,,,,,,,,,,,,,,,,,,,,,,,,,
dill,dill,veggies,veggies,,,,,,,,,,,,,,,,,,,,,,,,,
dine,,,,,,,,,,,,,,,,,,,,,,,,dining,food related,,,
dine in,,,,,,,,,,,,,diner,coffee shops/bakery/eatery,,,,,,,,,,,,,,
diner,,,,,,,,,,,,,diner,coffee shops/bakery/eatery,,,,,,,,,,,,,,
dining,,,,,,,,,,,,,,,,,,,,,,,,dining,food related,,,
dining hall,,,,,,,,,,,,,dining hall,home,,,,,,,,,,,,,,
dinner,,,,,,,,,,,,,,,,,,dinner,night,,,,,,,,,
dip,dip,sides/sauces/spices,sides/sauces/spices,,,,,,,,,,,,,,,,,,,,,,,,,
disappointed,,,,,,,,,,disappointed,dislike,negative,,,,,,,,,,,,,,,,
disappointment,,,,,,,,,,disappointed,dislike,negative,,,,,,,,,,,,,,,,
dislike,,,,,,,,,,dislike,dislike,negative,,,,,,,,,,,,,,,,
disregard,,,,,,,,,,disregard,dislike,negative,,,,,,,,,,,,,,,,
dissatisfaction,,,,,,,,,,dissatisfied,dislike,negative,,,,,,,,,,,,,,,,
dissatisfied,,,,,,,,,,dissatisfied,dislike,negative,,,,,,,,,,,,,,,,
divine,,,,,,,,,,divine,superlative,positive,,,,,,,,,,,,,,,,
doces,doces,candy/chocolate,candy/chocolate,,sweet snacks,,,,,,,,,,,,,,,,,,,,,,,
docura,docura,dessert,light food,light food,sweet snacks,,,,,,,,,,,,,,,,,,,,,,,
doesnt make me feel full,,,,,,,,,,,,,,,,,,,,,,doesnt make me feel full,doesnt make me feel full,,,,,
donair,donair,meat,meat,,,,,,,,,,,,,,,,,,,,,,,,,
donitas,donitas,salty snacks,light food,light food,salty snacks,packaged food,,,,,,,,,,,,,,,,,,,,,,
donut,donut,dessert,light food,light food,sweet snacks,,,,,,,,,,,,,,,portable,portable,,,,,,,
dorilocos,dorilocos,snacks,light food,traditional food,wholesome snacks,,,,,,,,,,,,,,,,,,,,,,,
dorito,doritos,snacks,light food,light food,salty snacks,packaged food,doritos,doritos,frito lay,,,,,,,,,,,portable,portable,rte,rte,,,,,
doritos,doritos,snacks,light food,light food,salty snacks,packaged food,doritos,doritos,frito lay,,,,,,,,,,,portable,portable,rte,rte,,,,,
double espresso,,,,,,,,,,,,,,,,,,,,,,,,,,double espresso,coffee,non alcoholic
doubt,,,,,,,,,,doubt,concern/confused,confused,,,,,,,,,,,,,,,,
doubtful,,,,,,,,,,doubtful,concern/confused,confused,,,,,,,,,,,,,,,,
doughnut,doughnut,dessert,light food,light food,sweet snacks,,,,,,,,,,,,,,,portable,portable,,,,,,,
dried fruits,dried fruits,fruits,natural,,,,,,,,,,,,,,,,,,,healthy,health & nutrition,,,,,
dried veggies,dried veggies,veggies,veggies,,,,,,,,,,,,,,,,,,,,,,,,,
drinking,,,,,,,,,,,,,,,,,,,,,,,,drinking,food related,,,
drive in,,,,,,,,,,,,,drive in,on the way,,,,,,,,,,,,,,
drive through,,,,,,,,,,,,,drive in,on the way,,,,,,,,,,,,,,
drive thru,,,,,,,,,,,,,drive in,on the way,,,,,,,,,,,,,,
drivethru,,,,,,,,,,,,,drive in,on the way,,,,,,,,,,,,,,
driving,,,,,,,,,,,,,,,,,,,,,,,,driving,day to day activities,,,
dry fruits,dry fruits,nuts/seeds,wholesome snacks,,,,,,,,,,,,,,,,,,,,,,,,,
duck,duck,meat,meat,,,,,,,,,,,,,,,,,,,,,,,,,
duende amigo,duende amigo,sides/sauces/spices,sides/sauces/spices,,,,,,,,,,,,,,,,,,,,,,,,,
